"bins","max","mid","min","LPT_area","MaxSSS_area","stage"
2,70,60,50,0,0,"Callovian"
3,50,40,30,10510020.9121598,3703372.14141554,"Callovian"
4,30,20,10,14966975.0307249,14945531.1212469,"Callovian"
5,10,0,-10,4788081.01666122,4788081.01666122,"Callovian"
6,-10,-20,-30,7171801.34957832,7107469.62114441,"Callovian"
7,-30,-40,-50,3245797.34182736,274093.895720348,"Callovian"
8,-50,-60,-70,0,0,"Callovian"
9,-70,-80,-90,0,0,"Callovian"
1,90,80,70,0,0,"Campanian"
2,70,60,50,0,0,"Campanian"
3,50,40,30,9479032.54140446,3981825.97846409,"Campanian"
4,30,20,10,16450923.1678705,16439545.4991305,"Campanian"
5,10,0,-10,9208324.51727599,9208324.51727599,"Campanian"
6,-10,-20,-30,7950305.94191562,7658549.30733605,"Campanian"
7,-30,-40,-50,4898071.23731208,1961621.112696,"Campanian"
8,-50,-60,-70,0,0,"Campanian"
9,-70,-80,-90,0,0,"Campanian"
1,90,80,70,0,0,"Carnian"
2,70,60,50,0,0,"Carnian"
3,50,40,30,8051590.62902359,3911506.83855451,"Carnian"
4,30,20,10,11687951.5940245,10944854.0555659,"Carnian"
5,10,0,-10,8122666.99832105,8122666.99832105,"Carnian"
6,-10,-20,-30,8821288.14832371,5979019.34593137,"Carnian"
7,-30,-40,-50,648438.746705383,177979.351589584,"Carnian"
8,-50,-60,-70,0,0,"Carnian"
9,-70,-80,-90,0,0,"Carnian"
1,90,80,70,0,0,"Cenomanian"
2,70,60,50,0,0,"Cenomanian"
3,50,40,30,10232104.0630535,4920979.61558492,"Cenomanian"
4,30,20,10,15801635.2179055,15801635.2179055,"Cenomanian"
5,10,0,-10,9630189.24302054,9630189.24302054,"Cenomanian"
6,-10,-20,-30,6719911.51899075,6653518.24106315,"Cenomanian"
7,-30,-40,-50,5885435.05713581,2199332.3619358,"Cenomanian"
8,-50,-60,-70,0,0,"Cenomanian"
9,-70,-80,-90,0,0,"Cenomanian"
1,90,80,70,0,0,"Chattian"
2,70,60,50,0,0,"Chattian"
3,50,40,30,5250989.15648605,699507.049156055,"Chattian"
4,30,20,10,10870730.824085,10567253.7269931,"Chattian"
5,10,0,-10,7498538.17334718,7498538.17334718,"Chattian"
6,-10,-20,-30,7794897.92790349,7705663.421686,"Chattian"
7,-30,-40,-50,5626793.58557263,2222509.47004793,"Chattian"
8,-50,-60,-70,0,0,"Chattian"
9,-70,-80,-90,0,0,"Chattian"
1,90,80,70,0,0,"Coniacian"
2,70,60,50,0,0,"Coniacian"
3,50,40,30,9158684.20243717,3918591.22051884,"Coniacian"
4,30,20,10,15574165.7704747,15574165.7704747,"Coniacian"
5,10,0,-10,8787183.61008745,8787183.61008745,"Coniacian"
6,-10,-20,-30,6673445.52452074,6584169.91434768,"Coniacian"
7,-30,-40,-50,7226769.47556563,2726990.08473871,"Coniacian"
8,-50,-60,-70,0,0,"Coniacian"
9,-70,-80,-90,0,0,"Coniacian"
1,90,80,70,0,0,"Danian"
2,70,60,50,0,0,"Danian"
3,50,40,30,7640905.29282041,2359801.5930363,"Danian"
4,30,20,10,14401336.256662,14173826.3827437,"Danian"
5,10,0,-10,11162671.7712121,11162671.7712121,"Danian"
6,-10,-20,-30,5792872.70036428,5746739.02065407,"Danian"
7,-30,-40,-50,5792067.85214485,2276127.01811144,"Danian"
8,-50,-60,-70,0,0,"Danian"
9,-70,-80,-90,0,0,"Danian"
1,90,80,70,0,0,"Hauterivian"
2,70,60,50,0,0,"Hauterivian"
3,50,40,30,5376547.52450332,1895686.42766715,"Hauterivian"
4,30,20,10,15350955.6912101,15242752.2618388,"Hauterivian"
5,10,0,-10,5322266.00036587,5322266.00036587,"Hauterivian"
6,-10,-20,-30,3893329.51477276,3725235.94008523,"Hauterivian"
7,-30,-40,-50,3502045.83448112,784141.413240714,"Hauterivian"
8,-50,-60,-70,0,0,"Hauterivian"
9,-70,-80,-90,0,0,"Hauterivian"
1,90,80,70,0,0,"Hettangian"
2,70,60,50,0,0,"Hettangian"
3,50,40,30,9107307.36701952,3267377.40600359,"Hettangian"
4,30,20,10,8169081.5352985,7651336.61727562,"Hettangian"
5,10,0,-10,4982208.83185472,4982208.83185472,"Hettangian"
6,-10,-20,-30,5736819.15596107,4248817.42777367,"Hettangian"
7,-30,-40,-50,819420.64612956,10614.9879825991,"Hettangian"
8,-50,-60,-70,0,0,"Hettangian"
9,-70,-80,-90,0,0,"Hettangian"
1,90,80,70,0,0,"Kimmeridgian"
2,70,60,50,0,0,"Kimmeridgian"
3,50,40,30,9638314.64360082,2847414.8896786,"Kimmeridgian"
4,30,20,10,14800160.9518224,14800160.9518224,"Kimmeridgian"
5,10,0,-10,6810662.67462884,6810662.67462884,"Kimmeridgian"
6,-10,-20,-30,7921193.4691497,7672442.87032952,"Kimmeridgian"
7,-30,-40,-50,4764102.9987596,997218.581168301,"Kimmeridgian"
8,-50,-60,-70,0,0,"Kimmeridgian"
9,-70,-80,-90,0,0,"Kimmeridgian"
1,90,80,70,0,0,"Ladinian"
2,70,60,50,0,0,"Ladinian"
3,50,40,30,5184260.98959516,1851874.06852859,"Ladinian"
4,30,20,10,13882816.1441792,13525414.9026745,"Ladinian"
5,10,0,-10,8487802.93874957,8487802.93874957,"Ladinian"
6,-10,-20,-30,8489945.65536236,5762058.55578909,"Ladinian"
7,-30,-40,-50,1103625.36160372,209481.04023201,"Ladinian"
8,-50,-60,-70,0,0,"Ladinian"
9,-70,-80,-90,0,0,"Ladinian"
1,90,80,70,0,0,"Langhian"
2,70,60,50,0,0,"Langhian"
3,50,40,30,3083901.56182415,52630.9351416357,"Langhian"
4,30,20,10,9708893.90636933,7781546.31247679,"Langhian"
5,10,0,-10,8841762.25230621,8841762.25230621,"Langhian"
6,-10,-20,-30,8407892.18924828,8397170.2345093,"Langhian"
7,-30,-40,-50,4930789.08142055,1300680.63995818,"Langhian"
8,-50,-60,-70,0,0,"Langhian"
9,-70,-80,-90,0,0,"Langhian"
1,90,80,70,0,0,"Lutetian"
2,70,60,50,0,0,"Lutetian"
3,50,40,30,8511865.45333506,3368643.4422701,"Lutetian"
4,30,20,10,18803251.9559768,18803251.9559768,"Lutetian"
5,10,0,-10,8561877.2849539,8561877.2849539,"Lutetian"
6,-10,-20,-30,4757445.94965076,4665984.75128649,"Lutetian"
7,-30,-40,-50,5557348.9247002,2230299.00597266,"Lutetian"
8,-50,-60,-70,0,0,"Lutetian"
9,-70,-80,-90,0,0,"Lutetian"
1,90,80,70,0,0,"Maastrichtian"
2,70,60,50,0,0,"Maastrichtian"
3,50,40,30,9502856.56887398,3447723.03438454,"Maastrichtian"
4,30,20,10,15801605.775542,15801605.775542,"Maastrichtian"
5,10,0,-10,11818990.7165621,11818990.7165621,"Maastrichtian"
6,-10,-20,-30,8735099.80406436,8735099.80406436,"Maastrichtian"
7,-30,-40,-50,5455749.90070529,2321950.35500803,"Maastrichtian"
8,-50,-60,-70,0,0,"Maastrichtian"
9,-70,-80,-90,0,0,"Maastrichtian"
1,90,80,70,0,0,"Messinian"
2,70,60,50,0,0,"Messinian"
3,50,40,30,2578605.93568377,0,"Messinian"
4,30,20,10,9824269.28163548,8666794.23604649,"Messinian"
5,10,0,-10,10591713.1352088,10543080.8496576,"Messinian"
6,-10,-20,-30,7106755.83022028,7020669.08786308,"Messinian"
7,-30,-40,-50,4322723.60020143,916676.95130997,"Messinian"
8,-50,-60,-70,0,0,"Messinian"
9,-70,-80,-90,0,0,"Messinian"
1,90,80,70,0,0,"Norian"
2,70,60,50,90428.7571494243,0,"Norian"
3,50,40,30,6307871.39358731,2826459.25085534,"Norian"
4,30,20,10,10662892.9504802,10397414.4129058,"Norian"
5,10,0,-10,7095980.97295285,7095980.97295285,"Norian"
6,-10,-20,-30,7154369.94981239,4184952.34665677,"Norian"
7,-30,-40,-50,821147.007799094,125238.215690447,"Norian"
8,-50,-60,-70,0,0,"Norian"
9,-70,-80,-90,0,0,"Norian"
1,90,80,70,0,0,"Oxfordian"
2,70,60,50,0,0,"Oxfordian"
3,50,40,30,10334868.2874817,3302965.70285011,"Oxfordian"
4,30,20,10,16274104.5504363,16274104.5504363,"Oxfordian"
5,10,0,-10,6636710.11044477,6636710.11044477,"Oxfordian"
6,-10,-20,-30,8281178.61199518,8066013.60684305,"Oxfordian"
7,-30,-40,-50,4405382.3377719,962400.142528451,"Oxfordian"
8,-50,-60,-70,0,0,"Oxfordian"
9,-70,-80,-90,0,0,"Oxfordian"
1,90,80,70,0,0,"Piacenzian"
2,70,60,50,0,0,"Piacenzian"
3,50,40,30,2260615.23087033,0,"Piacenzian"
4,30,20,10,10965661.4269834,9405100.23356608,"Piacenzian"
5,10,0,-10,11203608.3855479,11203608.3855479,"Piacenzian"
6,-10,-20,-30,6683409.12496406,6661657.40659662,"Piacenzian"
7,-30,-40,-50,3493649.38623892,841578.494583574,"Piacenzian"
8,-50,-60,-70,0,0,"Piacenzian"
9,-70,-80,-90,0,0,"Piacenzian"
1,90,80,70,0,0,"Pliensbachian"
2,70,60,50,0,0,"Pliensbachian"
3,50,40,30,10027624.4194515,4617194.70714571,"Pliensbachian"
4,30,20,10,10582984.0399126,10061826.2420023,"Pliensbachian"
5,10,0,-10,4540856.33662743,4540856.33662743,"Pliensbachian"
6,-10,-20,-30,5208333.64721498,2738635.79988227,"Pliensbachian"
7,-30,-40,-50,1201181.41853055,21229.9759651982,"Pliensbachian"
8,-50,-60,-70,0,0,"Pliensbachian"
9,-70,-80,-90,0,0,"Pliensbachian"
1,90,80,70,0,0,"Priabonian"
2,70,60,50,0,0,"Priabonian"
