x,y,stage
7.5,24.5,Kimmeridgian
6.5,23.5,Kimmeridgian
-5.5,22.5,Kimmeridgian
6.5,22.5,Kimmeridgian
6.5,21.5,Kimmeridgian
100.5,21.5,Kimmeridgian
34.5,18.5,Kimmeridgian
35.5,18.5,Kimmeridgian
12.5,16.5,Kimmeridgian
56.5,16.5,Kimmeridgian
10.5,14.5,Kimmeridgian
42.5,6.5,Kimmeridgian
26.5,-39.5,Kimmeridgian
82.5,32.5,Ladinian
23.5,31.5,Ladinian
82.5,31.5,Ladinian
24.5,30.5,Ladinian
22.5,26.5,Ladinian
19.5,25.5,Ladinian
120.5,19.5,Ladinian
119.5,18.5,Ladinian
16.5,15.5,Ladinian
15.5,14.5,Ladinian
16.5,14.5,Ladinian
17.5,13.5,Ladinian
18.5,13.5,Ladinian
-50.5,12.5,Ladinian
11.5,11.5,Ladinian
20.5,45.5,Langhian
31.5,29.5,Langhian
-71.5,18.5,Langhian
146.5,-10.5,Langhian
-170.5,-20.5,Langhian
10.5,39.5,Lutetian
12.5,39.5,Lutetian
-70.5,31.5,Lutetian
25.5,23.5,Lutetian
-84.5,16.5,Lutetian
-83.5,16.5,Lutetian
-84.5,15.5,Lutetian
22.5,37.5,Maastrichtian
1.5,32.5,Maastrichtian
14.5,26.5,Maastrichtian
41.5,24.5,Maastrichtian
49.5,7.5,Maastrichtian
44.5,-1.5,Maastrichtian
18.5,38.5,Messinian
-1.5,37.5,Messinian
12.5,37.5,Messinian
-2.5,36.5,Messinian
-0.5,35.5,Messinian
13.5,35.5,Messinian
-3.5,34.5,Messinian
-2.5,34.5,Messinian
12.5,34.5,Messinian
-77.5,24.5,Messinian
-72.5,19.5,Messinian
-71.5,19.5,Messinian
-69.5,11.5,Messinian
-83.5,9.5,Messinian
120.5,-5.5,Messinian
39.5,-11.5,Messinian
-175.5,-18.5,Messinian
58.5,51.5,Norian
62.5,47.5,Norian
63.5,47.5,Norian
65.5,46.5,Norian
145.5,39.5,Norian
147.5,39.5,Norian
148.5,39.5,Norian
21.5,37.5,Norian
15.5,36.5,Norian
15.5,35.5,Norian
14.5,34.5,Norian
15.5,34.5,Norian
14.5,33.5,Norian
-52.5,24.5,Norian
13.5,21.5,Norian
-64.5,20.5,Norian
13.5,20.5,Norian
-64.5,19.5,Norian
112.5,19.5,Norian
-92.5,17.5,Norian
-60.5,16.5,Norian
11.5,16.5,Norian
13.5,15.5,Norian
-50.5,14.5,Norian
13.5,14.5,Norian
-51.5,12.5,Norian
12.5,12.5,Norian
13.5,12.5,Norian
18.5,11.5,Norian
18.5,10.5,Norian
-53.5,8.5,Norian
-85.5,6.5,Norian
-54.5,6.5,Norian
-53.5,6.5,Norian
31.5,3.5,Norian
-86.5,0.5,Norian
-51.5,-1.5,Norian
-51.5,-2.5,Norian
48.5,-6.5,Norian
49.5,-8.5,Norian
72.5,-12.5,Norian
72.5,-13.5,Norian
74.5,-18.5,Norian
95.5,-21.5,Norian
96.5,-21.5,Norian
-40.5,-33.5,Norian
-29.5,-45.5,Norian
74.5,44.5,Oxfordian
77.5,44.5,Oxfordian
37.5,41.5,Oxfordian
54.5,39.5,Oxfordian
55.5,39.5,Oxfordian
30.5,38.5,Oxfordian
31.5,38.5,Oxfordian
32.5,38.5,Oxfordian
50.5,38.5,Oxfordian
51.5,38.5,Oxfordian
56.5,38.5,Oxfordian
57.5,38.5,Oxfordian
58.5,38.5,Oxfordian
30.5,37.5,Oxfordian
31.5,37.5,Oxfordian
46.5,37.5,Oxfordian
58.5,37.5,Oxfordian
23.5,36.5,Oxfordian
22.5,35.5,Oxfordian
23.5,35.5,Oxfordian
29.5,35.5,Oxfordian
40.5,35.5,Oxfordian
41.5,35.5,Oxfordian
40.5,34.5,Oxfordian
16.5,33.5,Oxfordian
15.5,32.5,Oxfordian
16.5,32.5,Oxfordian
21.5,32.5,Oxfordian
22.5,31.5,Oxfordian
23.5,31.5,Oxfordian
24.5,31.5,Oxfordian
18.5,30.5,Oxfordian
21.5,30.5,Oxfordian
22.5,30.5,Oxfordian
23.5,30.5,Oxfordian
24.5,30.5,Oxfordian
20.5,29.5,Oxfordian
21.5,29.5,Oxfordian
23.5,26.5,Oxfordian
-5.5,23.5,Oxfordian
6.5,23.5,Oxfordian
11.5,15.5,Oxfordian
15.5,12.5,Oxfordian
34.5,0.5,Oxfordian
40.5,-7.5,Oxfordian
40.5,-8.5,Oxfordian
41.5,-8.5,Oxfordian
41.5,-9.5,Oxfordian
41.5,-10.5,Oxfordian
33.5,-15.5,Oxfordian
-28.5,-45.5,Oxfordian
129.5,28.5,Piacenzian
-81.5,26.5,Piacenzian
124.5,25.5,Piacenzian
-78.5,24.5,Piacenzian
122.5,24.5,Piacenzian
123.5,24.5,Piacenzian
-81.5,23.5,Piacenzian
123.5,21.5,Piacenzian
-156.5,20.5,Piacenzian
-73.5,20.5,Piacenzian
-69.5,12.5,Piacenzian
120.5,-6.5,Piacenzian
113.5,-8.5,Piacenzian
4.5,27.5,Pliensbachian
