"species","x","y"
"reef",122.5,16.5
"reef",-83.5,15.5
"reef",-82.5,15.5
"reef",-61.5,15.5
"reef",39.5,15.5
"reef",40.5,15.5
"reef",41.5,15.5
"reef",42.5,15.5
"reef",94.5,15.5
"reef",109.5,15.5
"reef",111.5,15.5
"reef",119.5,15.5
"reef",120.5,15.5
"reef",121.5,15.5
"reef",145.5,15.5
"reef",-83.5,14.5
"reef",-82.5,14.5
"reef",-81.5,14.5
"reef",-61.5,14.5
"reef",-60.5,14.5
"reef",40.5,14.5
"reef",42.5,14.5
"reef",49.5,14.5
"reef",50.5,14.5
"reef",74.5,14.5
"reef",93.5,14.5
"reef",97.5,14.5
"reef",120.5,14.5
"reef",121.5,14.5
"reef",122.5,14.5
"reef",123.5,14.5
"reef",-83.5,13.5
"reef",-82.5,13.5
"reef",-81.5,13.5
"reef",-61.5,13.5
"reef",-59.5,13.5
"reef",92.5,13.5
"reef",93.5,13.5
"reef",97.5,13.5
"reef",98.5,13.5
"reef",100.5,13.5
"reef",109.5,13.5
"reef",120.5,13.5
"reef",121.5,13.5
"reef",122.5,13.5
"reef",123.5,13.5
"reef",124.5,13.5
"reef",-83.5,12.5
"reef",-82.5,12.5
"reef",-72.5,12.5
"reef",-71.5,12.5
"reef",-70.5,12.5
"reef",-69.5,12.5
"reef",-68.5,12.5
"reef",-61.5,12.5
"reef",52.5,12.5
"reef",79.5,12.5
"reef",92.5,12.5
"reef",93.5,12.5
"reef",97.5,12.5
"reef",98.5,12.5
"reef",100.5,12.5
"reef",109.5,12.5
"reef",119.5,12.5
"reef",120.5,12.5
"reef",121.5,12.5
"reef",122.5,12.5
"reef",123.5,12.5
"reef",124.5,12.5
"reef",-85.5,11.5
"reef",-74.5,11.5
"reef",-73.5,11.5
"reef",-72.5,11.5
"reef",-71.5,11.5
"reef",-69.5,11.5
"reef",-66.5,11.5
"reef",-64.5,11.5
"reef",-63.5,11.5
"reef",-61.5,11.5
"reef",-60.5,11.5
"reef",71.5,11.5
"reef",72.5,11.5
"reef",73.5,11.5
"reef",75.5,11.5
"reef",79.5,11.5
"reef",92.5,11.5
"reef",93.5,11.5
"reef",97.5,11.5
"reef",98.5,11.5
"reef",99.5,11.5
"reef",109.5,11.5
