"collection_no","r_number","interval_name","max_ma","mid_ma","min_ma","lng","lat","P.Long","P.Lat","data_source","paleolng","paleolat"
NA,1172,"Barremian",129.4,127.2,125,-75.5083,24.7333,-22.301885096,20.1488686020001,"PaleoReefDB",-30.5993502870386,18.7725681024313
"71132",3595,"Rupelian",33.9,31,28.1,-75.2,20.1333,-69.401502277,18.117282071,"PaleoReefDB",-68.9390931119591,20.0629129909643
NA,1949,"Tithonian",152.1,148.55,145,-71.5,-44.85,-33.9461661879999,-54.5038518499999,"PaleoReefDB",-31.552895892173,-43.1982317959545
"34516",786,"Tortonian",11.62,9.433,7.246,-71.4,19.6667,-72.57249569,18.671387113,"PaleoReefDB",-70.2859569634964,19.7257104608286
"41065",2680,"Tortonian",11.62,9.433,7.246,-71.1833,19.5333,-72.353176775,18.5438454210001,"PaleoReefDB",-70.0694831836408,19.5918711751724
"41070",3331,"Zanclean",5.333,4.466,3.6,-71.1833,19.5333,-71.631488614,19.7537154930001,"PaleoReefDB",-70.6564546603604,19.5640714669029
NA,2778,"Chattian",28.1,25.565,23.03,-70.5,19.25,-68.868302483,17.436441325,"PaleoReefDB",-69.1867101716077,18.7901457947915
"58741",3412,"Bajocian",170.3,169.3,168.3,-70.4667,-26.1333,-27.907296959,-29.7255614649999,"PaleoReefDB",-34.9078043356362,-24.2086943925449
"67865",414,"Oxfordian",163.5,160.4,157.3,-70.2833,-38.7,-28.399599768,-47.965595406,"PaleoReefDB",-32.0424585957867,-35.8160650304722
"184598",4099,"Oxfordian",163.5,160.4,157.3,-70.11,-38.47,-28.2633127039999,-47.7148303349999,"PaleoReefDB",-31.9367304542739,-35.5633258811193
"61589",4123,"Hauterivian",132.9,131.15,129.4,-70.09,-37.37,-32.660895286,-35.8568047809999,"PaleoReefDB",-34.8151211324578,-36.6011009240837
"98351",569,"Oxfordian",163.5,160.4,157.3,-69.7833,-35.9167,-28.5508825709999,-45.155965216,"PaleoReefDB",-32.2453422756533,-33.0094957327425
"58740",3411,"Bajocian",170.3,169.3,168.3,-69.5,-26.5833,-26.8483642259999,-30.057155655,"PaleoReefDB",-33.8366979877019,-25.7578210546421
"58739",3410,"Bajocian",170.3,169.3,168.3,-69,-23.05,-26.863440671,-26.4948692039999,"PaleoReefDB",-34.0223147289066,-22.1995472304903
"34631",552,"Bajocian",170.3,169.3,168.3,-68.9667,-21.8333,-27.003427632,-25.2843127749999,"PaleoReefDB",-34.2138983943718,-20.9955636396415
"41038",2678,"Piacenzian",3.6,3.094,2.588,-68.95,12.1333,-69.1989173969999,12.0738500790001,"PaleoReefDB",-68.5899668928852,12.1537761224213
"34632",1318,"Bajocian",170.3,169.3,168.3,-68.9167,-22.85,-26.807366993,-26.2866365689999,"PaleoReefDB",-33.9778688391648,-21.9893380212607
"41028",2679,"Messinian",7.246,6.29,5.333,-68.9,12.1,-69.54157431,11.639473901,"PaleoReefDB",-68.167979223494,12.1387388491281
"41032",3330,"Zanclean",5.333,4.466,3.6,-68.9,12.1,-69.293194172,11.996235579,"PaleoReefDB",-68.380302148955,12.1286506608283
"71245",1352,"Tortonian",11.62,9.433,7.246,-67.9167,18.1667,-70.208367223,16.9390847390001,"PaleoReefDB",-66.804955387392,18.2185500538329
"45406",1351,"Tortonian",11.62,9.433,7.246,-67.0333,18.5167,-69.327867247,17.28178827,"PaleoReefDB",-65.9204837749974,18.5667008698062
"45403",1347,"Chattian",28.1,25.565,23.03,-66.9167,17.9833,-71.187022726,15.682499197,"PaleoReefDB",-65.612732214094,17.5240152682808
"45402",644,"Chattian",28.1,25.565,23.03,-66.75,18.05,-71.017189177,15.7358888310001,"PaleoReefDB",-65.4464912994977,17.590785401326
"45404",1348,"Chattian",28.1,25.565,23.03,-66.5,18.4167,-70.7396833399999,16.0817599540001,"PaleoReefDB",-65.1973239702548,17.9575978119922
NA,703,"Burdigalian",20.44,18.205,15.97,-64.8333,17.6667,-67.883325961,15.810483721,"PaleoReefDB",-63.3888215280025,17.618971197671
"34504",2072,"Chattian",28.1,25.565,23.03,-61.6833,17.0333,-66.115523173,14.3345604310001,"PaleoReefDB",-60.3915148872624,16.5780637681988
"25536",2656,"Aptian",125,119,113,-61.2,10.4833,-23.326102604,13.6186931940001,"PaleoReefDB",-28.8925816376487,9.5596697930268
NA,3368,"Lutetian",47.8,44.55,41.3,-59.5833,13.25,-62.782766701,9.34885513200004,"PaleoReefDB",-58.7130643245669,11.8579512961527
"70666",2028,"Tortonian",11.62,9.433,7.246,-16.3333,33.05,-17.540625991,31.66722387,"PaleoReefDB",-16.6634385597513,33.0975604465224
"68080",2854,"Oxfordian",163.5,160.4,157.3,-9.85,30.6667,-1.31392999499997,17.283832832,"PaleoReefDB",-7.902328898509,28.4967707506609
"68081",2855,"Kimmeridgian",157.3,154.7,152.1,-9.7667,30.6167,-1.10082227899994,16.117399227,"PaleoReefDB",-6.84259577685441,27.7538839040657
NA,388,"Oxfordian",163.5,160.4,157.3,-9.6667,32.55,-0.241867193999951,18.8752617390001,"PaleoReefDB",-4.39094892764798,29.8754101919098
NA,241,"Oxfordian",163.5,160.4,157.3,-9.5,30.6667,-1.03496206799997,17.1437438140001,"PaleoReefDB",-7.60942018292688,28.3409854224161
"92102",1997,"Aquitanian",23.03,21.735,20.44,-9.2667,38.6833,-12.287847422,36.1847546810001,"PaleoReefDB",-10.9466824265273,38.5730288831206
NA,2751,"Oxfordian",163.5,160.4,157.3,-9.0514,39.1958,7.62241256600004,25.5399241550001,"PaleoReefDB",1.56381306558067,33.2729348280389
"68784",497,"Kimmeridgian",157.3,154.7,152.1,-9.05,38.95,6.94869467700005,24.104315473,"PaleoReefDB",0.739744326655664,33.4938799419589
"25327",485,"Kimmeridgian",157.3,154.7,152.1,-9,39.0667,7.05313239200007,24.1820710270001,"PaleoReefDB",0.849692879181083,33.575911338649
"68586",499,"Kimmeridgian",157.3,154.7,152.1,-8.1,37.15,6.60106092200004,22.1814659030001,"PaleoReefDB",0.465849500220284,31.558370075646
"68587",3482,"Kimmeridgian",157.3,154.7,152.1,-7.9667,37.1667,6.70818923300004,22.1399758690001,"PaleoReefDB",0.584371609171858,31.5214750629583
NA,353,"Pliensbachian",190.8,186.75,182.7,-6.2667,31.6833,2.30083386400003,26.051449468,"PaleoReefDB",-3.7804474559366,26.4274586366161
NA,389,"Pliensbachian",190.8,186.75,182.7,-5.6667,33.85,3.63583780600004,27.9313933830001,"PaleoReefDB",-4.98492634387769,28.1014245517527
"70890",3583,"Tortonian",11.62,9.433,7.246,-5.6167,33.65,-6.96025787099995,32.2061808330001,"PaleoReefDB",-5.93976614528826,33.5874059355918
NA,387,"Pliensbachian",190.8,186.75,182.7,-5.1667,33.5333,3.96115265900005,27.495014343,"PaleoReefDB",-4.73172029715621,27.6289192804534
"33616",354,"Pliensbachian",190.8,186.75,182.7,-5,33.5,4.09669600400002,27.4178225090001,"PaleoReefDB",-4.60956424125044,27.5356351463651
NA,4280,"Pliensbachian",190.8,186.75,182.7,-4.9594,31.9351,3.56061104200006,25.9276464380001,"PaleoReefDB",-2.5443086782564,26.1639094219156
"33615",356,"Toarcian",182.7,178.4,174.1,-4.7167,32.6833,2.82021517600003,25.314421989,"PaleoReefDB",-3.58006109593029,26.9634951153175
"70928",824,"Tortonian",11.62,9.433,7.246,-4.6667,33.6667,-6.02556968399995,32.2184988590001,"PaleoReefDB",-4.99033500444122,33.59439637762
"34723",674,"Messinian",7.246,6.29,5.333,-4.65,33.9667,-4.89829578399997,33.367789013,"PaleoReefDB",-4.86285598725059,33.9180531687755
"204643",1137,"Bajocian",170.3,169.3,168.3,-4.5,32.2667,5.03855141600008,23.716065884,"PaleoReefDB",-3.38725765685171,27.0349570016592
"34724",3252,"Messinian",7.246,6.29,5.333,-4.45,33.6833,-4.70426931999998,33.0821723060001,"PaleoReefDB",-4.66577073759404,33.6333016916172
NA,375,"Bajocian",170.3,169.3,168.3,-4.3597,32.1597,5.09507406500006,23.564875731,"PaleoReefDB",-0.488548828570791,26.767067819826
NA,355,"Pliensbachian",190.8,186.75,182.7,-4.1667,34,5.02001105600004,27.662360275,"PaleoReefDB",-3.65618851635861,27.6629718490371
"74622",1238,"Cenomanian",100.5,97.2,93.9,-3.9333,43.4667,3.03648558800006,36.726009832,"PaleoReefDB",-0.536367978186862,31.9817520085624
"22979",1474,"Tortonian",11.62,9.433,7.246,-3.7667,37.2583,-5.71299255299994,36.179787176,"PaleoReefDB",-4.52627166364578,37.4845105757836
"22978",1472,"Tortonian",11.62,9.433,7.246,-3.7528,36.95,-5.69103033799996,35.8717996820001,"PaleoReefDB",-4.50898089870894,37.1763178493384
"56935",1733,"Albian",113,106.75,100.5,-3.5833,43.5,11.1842152740001,34.3341620780001,"PaleoReefDB",3.73900679788341,32.3468268775352
"147183",1473,"Tortonian",11.62,9.433,7.246,-3.5333,37.15,-5.47997451799995,36.0755533930001,"PaleoReefDB",-4.29099592068666,37.3778209621289
"33573",352,"Pliensbachian",190.8,186.75,182.7,-3.4333,32.2667,5.03943179700002,25.8235724040001,"PaleoReefDB",-1.08938807829797,25.8954382767898
NA,1175,"Albian",113,106.75,100.5,-3.2667,43.0833,11.2355172330001,33.859885911,"PaleoReefDB",3.81800421170712,31.8753765264118
NA,2000,"Tortonian",11.62,9.433,7.246,-3.25,34.1833,-4.62915163899993,32.729287152,"PaleoReefDB",-3.56742251247208,34.0965186295944
