"name","success","failure","n","perf","buffer_perf","upper","mean","lower","V","pval","interval_no","record_type","scale_no","scale_level","abbrev","parent_no","color","max_ma","mid_ma","min_ma","reference_no"
"Callovian",2,2,4,50,50,4.79022665170089,4.175,3.55977334829911,0,1.8578244748069e-193,127,"int",1,5,"Cal",42,"#BFE7E5",166.1,164.8,163.5,47900
"Bathonian",0,4,4,0,0,4.01596010028359,3.45,2.88403989971641,8646,1,128,"int",1,5,"Bat",42,"#B3E2E3",168.3,167.2,166.1,47900
"Bajocian",7,14,21,33.3333333333333,42.8571428571429,3.92029169649594,3.67142857142857,3.4225654463612,0,1.0404040613587e-171,129,"int",1,5,"Baj",42,"#A6DDE0",170.3,169.3,168.3,47900
"Aalenian",2,2,4,50,50,3.95423474621992,3.4,2.84576525378008,0,3.47385232295489e-197,130,"int",1,5,"Aal",42,"#9AD9DD",174.1,172.2,170.3,47900
"Toarcian",1,0,1,100,100,4.75659577928332,3.6,2.44340422071668,0,6.01704062852864e-212,131,"int",1,5,"Toa",43,"#99CEE3",182.7,178.4,174.1,47900
"Pliensbachian",5,0,5,100,100,3.50609147902606,3.04,2.57390852097394,0,1.07386219545095e-195,132,"int",1,5,"Pli",43,"#80C5DD",190.8,186.75,182.7,47900
"Sinemurian",1,5,6,16.6666666666667,50,3.428646445908,3,2.571353554092,4625.5,1.42340874028895e-175,133,"int",1,5,"Sin",43,"#67BCD8",199.3,195.05,190.8,47900
"Hettangian",0,2,2,0,0,3.06359168110454,2.4,1.73640831889546,1176,0.999999999997956,134,"int",1,5,"Het",43,"#4EB3D3",201.3,200.3,199.3,47900
"Rhaetian",7,9,16,43.75,43.75,3.70687966988796,3.425,3.14312033011204,0,4.18105491273762e-175,135,"int",1,5,"Rha",44,"#E3B9DB",208.5,204.9,201.3,47900
"Norian",26,11,37,70.2702702702703,72.972972972973,3.5336757267132,3.34864864864865,3.1636215705841,0,5.7120174158426e-169,136,"int",1,5,"Nor",44,"#D6AAD3",228,218.25,208.5,47900
"Carnian",12,1,13,92.3076923076923,92.3076923076923,4.35457609455891,4.00769230769231,3.66080852082571,0,6.23118618282876e-176,137,"int",1,5,"Car",44,"#C99BCB",237,232.5,228,47900
"Ladinian",8,0,8,100,100,4.26440775619869,3.85,3.43559224380131,0,1.91510251995219e-183,138,"int",1,5,"Lad",45,"#C983BF",242,239.5,237,47900
"Anisian",3,0,3,100,100,4.58423063471282,3.9,3.21576936528718,0,7.34794764082424e-200,139,"int",1,5,"Ani",45,"#BC75B7",247.2,244.6,242,47900
