interval_no,record_type,scale_no,scale_level,interval_name,abbrev,parent_no,color,max_ma,mid_ma,min_ma,reference_no
3001,int,1,5,Pridoli,Pri,59,#E6F5E1,423,421.1,419.2,47900
184,int,1,5,Ludfordian,Lud,60,#D9F0DF,425.6,424.3,423,47900
185,int,1,5,Gorstian,Gor,60,#CCECDD,427.4,426.5,425.6,47900
785,int,1,5,Homerian,Hom,61,#CCEBD1,430.5,428.95,427.4,47900
188,int,1,5,Sheinwoodian,She,61,#BFE6C3,433.4,431.95,430.5,47900
189,int,1,5,Telychian,Tel,62,#BFE6D1,438.5,435.95,433.4,47900
190,int,1,5,Aeronian,Aer,62,#B3E1C2,440.8,439.65,438.5,47900
191,int,1,5,Rhuddanian,Rhu,62,#A6DCB5,443.4,442.1,440.8,47900
192,int,1,5,Hirnantian,Hir,29,#A6DBAB,445.2,444.3,443.4,47900
1008,int,1,5,Katian,Kat,29,#99D69F,453,449.1,445.2,47900
1009,int,1,5,Sandbian,San,29,#8CD094,458.4,455.7,453,47900
556,int,1,5,Darriwilian,Dar,30,#74C69C,467.3,462.85,458.4,47900
1079,int,1,5,Dapingian,Dap,30,#66C092,470,468.65,467.3,47900
1010,int,1,5,Floian,Flo,31,#41B087,477.7,473.85,470,47900
559,int,1,5,Tremadocian,Tre,31,#33A97E,485.4,481.55,477.7,47900
1112,int,1,5,Stage 10,Sta,780,#E6F5C9,489.5,487.45,485.4,47900
1113,int,1,5,Jiangshanian,Jia,780,#D9F0BB,494,491.75,489.5,47900
1114,int,1,5,Paibian,Pai,780,#CCEBAE,497,495.5,494,47900
1087,int,1,5,Guzhangian,Guz,1109,#CCDFAA,500.5,498.75,497,47900
1116,int,1,5,Drumian,Dru,1109,#BFD99D,504.5,502.5,500.5,47900
1117,int,1,5,Stage 5,Sta,1109,#B3D492,509,506.75,504.5,47900
1118,int,1,5,Stage 4,Sta,1110,#B3CA8E,514,511.5,509,47900
1119,int,1,5,Stage 3,Sta,1110,#A6C583,521,517.5,514,47900
1120,int,1,5,Stage 2,Sta,1111,#A6BA80,529,525,521,47900
1121,int,1,5,Fortunian,For,1111,#99B575,541,535,529,47900
